timestamp,cpu_usage,ram_usage,disk_usage,process_count,new_processes,terminated_processes,login_success,login_failed,logoff_events,file_created,file_modified,file_deleted,file_renamed
2026-09-22T10:17:20.034199,91.9,92.8,55.9,263,0,1,0,0,0,0,0,0,0
2026-09-22T10:17:25.429610,63.7,92.5,55.9,262,0,0,0,0,0,0,0,0,0
2026-09-22T10:17:30.992350,63.7,92.5,55.9,262,0,1,0,0,0,0,0,0,0
2026-09-22T10:17:36.377893,54.6,92.8,55.9,263,1,0,0,0,0,0,0,0,0
2026-09-22T10:17:41.800501,3.1,90.6,55.9,262,0,1,0,0,0,0,0,0,0
2026-09-22T10:17:47.126235,34.4,91.2,55.9,259,1,0,0,0,0,0,0,0,0
2026-09-22T10:17:52.728182,34.4,91.2,55.9,259,0,4,0,0,0,0,0,0,0
2026-09-22T10:17:58.167102,50.2,92.1,55.9,258,0,1,0,0,0,0,0,0,0
2026-09-22T10:18:03.514503,33.2,89.5,55.9,259,1,0,0,0,0,0,0,0,0
2026-09-22T10:18:09.177236,21.6,90.4,55.9,257,0,2,0,0,0,0,0,0,0
2026-09-22T10:18:14.709044,18.9,92.4,55.9,257,0,0,0,0,0,0,0,0,0
2026-09-22T10:18:20.030783,18.9,92.4,55.9,257,0,0,0,0,0,0,0,0,0
2026-09-22T10:18:25.462014,34.0,91.9,55.9,257,0,1,0,0,0,0,0,0,0
2026-09-22T10:18:30.829317,27.1,92.5,55.9,261,1,0,0,0,0,0,0,0,0
2026-09-22T10:18:36.184073,45.4,93.3,55.9,259,0,0,0,0,0,0,0,0,0
2026-09-22T10:18:41.559725,45.4,93.3,55.9,259,0,2,0,0,0,0,0,0,0
2026-09-22T10:18:46.866091,29.3,92.8,55.9,253,1,7,0,0,0,0,0,0,0
2026-09-22T10:18:52.286390,21.9,91.6,55.9,251,0,3,0,0,0,0,0,0,0
2026-09-22T10:18:58.060448,19.1,91.7,55.9,251,0,0,0,0,0,0,0,0,0
2026-09-22T10:19:03.506964,19.1,91.7,55.9,251,0,0,0,0,0,0,0,0,0
2026-09-22T10:19:09.189271,62.0,88.9,55.9,251,0,0,0,0,0,0,0,0,0
2026-09-22T10:19:14.659300,28.8,90.0,55.9,250,0,2,0,0,0,0,0,0,0
2026-09-22T10:19:20.533399,53.5,90.5,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T10:19:26.917627,53.5,90.5,55.9,249,0,1,0,0,0,0,0,0,0
2026-09-22T10:19:32.499088,99.3,92.7,55.9,252,1,0,0,0,0,0,0,0,0
2026-09-22T10:19:37.873589,59.5,89.8,55.9,253,0,0,0,0,0,0,0,0,0
2026-09-22T10:19:43.313233,17.5,90.7,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:19:48.955251,17.5,90.7,55.9,252,0,1,0,0,0,0,0,0,0
2026-09-22T10:19:54.305938,29.1,90.7,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:19:59.685372,31.1,90.0,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:20:05.141251,19.2,90.1,55.9,251,0,1,0,0,0,0,0,0,0
2026-09-22T10:20:11.295389,19.2,90.1,55.9,251,0,0,0,0,0,0,0,0,0
2026-09-22T10:20:16.695079,34.5,78.5,55.9,251,0,0,0,0,0,0,0,0,0
2026-09-22T10:20:22.505309,49.6,78.6,55.9,251,0,0,0,0,0,0,0,0,0
2026-09-22T10:20:27.964237,57.1,87.0,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:20:33.281771,55.3,87.6,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:20:38.658486,55.3,87.6,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:20:43.953881,22.7,86.1,55.9,250,0,2,0,0,0,0,0,0,0
2026-09-22T10:20:49.231851,22.8,86.5,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T10:20:54.723640,22.8,86.5,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T10:21:00.063331,23.5,87.8,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T10:21:05.358857,34.5,87.2,55.9,249,0,1,0,0,0,0,0,0,0
2026-09-22T10:21:10.705559,13.1,88.9,55.9,249,0,1,0,0,0,0,0,0,0
2026-09-22T10:21:16.408375,30.9,87.8,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T10:21:21.981859,30.9,87.8,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T10:21:27.973004,24.2,88.2,55.9,252,1,0,2,0,0,0,0,0,0
2026-09-22T10:21:33.629252,53.4,89.7,55.9,253,1,0,0,0,0,0,0,0,0
2026-09-22T10:21:38.941470,13.3,89.7,55.9,253,0,2,0,0,0,0,0,0,0
2026-09-22T10:21:45.022638,16.5,89.8,55.9,252,0,1,0,0,0,0,0,0,0
2026-09-22T10:21:50.765330,22.5,90.5,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:21:56.375869,22.5,90.5,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:22:01.826256,59.8,87.2,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:22:07.128805,30.9,88.3,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:22:12.655863,33.1,89.4,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:22:18.214924,70.1,92.1,55.9,253,0,0,0,0,0,0,0,0,0
2026-09-22T10:22:23.633367,70.1,92.1,55.9,253,0,2,0,0,0,0,0,0,0
2026-09-22T10:22:29.013933,28.7,90.0,55.9,252,0,1,0,0,0,0,0,0,0
2026-09-22T10:22:34.392187,40.9,90.3,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:22:39.693305,20.6,90.1,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:22:45.051879,20.6,90.1,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:22:50.383109,28.1,90.0,55.9,252,1,1,0,0,0,0,0,0,0
2026-09-22T10:22:55.713107,15.6,88.7,55.9,251,0,1,0,0,0,0,0,0,0
2026-09-22T10:23:01.116699,53.1,89.4,55.9,251,0,0,0,0,0,0,0,0,0
2026-09-22T10:23:06.650407,53.1,89.4,55.9,251,1,2,0,0,0,0,0,0,0
2026-09-22T10:23:12.010333,29.9,90.9,55.9,252,1,0,1,0,0,0,0,0,0
2026-09-22T10:23:17.367349,31.1,91.4,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:23:22.822030,18.7,92.8,55.9,250,0,2,0,0,0,0,0,0,0
2026-09-22T10:23:28.491301,18.7,92.8,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T10:23:33.996899,25.3,91.4,55.9,250,0,0,0,0,0,0,0,0,0
2026-09-22T10:23:39.306731,15.4,90.4,55.9,248,0,3,0,0,0,0,0,0,0
